1,115
1,100
1,102
1,97
1,115
1,32
1,102
1,115
2,102
1,32
1,115
1,100
1,102
1,100
1,102
1,32
1,115
1,102
1,115
1,97
1,102
1,115
1,32
1,102
1,100
1,115
1,102
1,115
1,97
1,32
1,102
1,115
2,102
1,115
1,100
1,102
1,115
1,97
1,102
1,115
1,97
1,102
1,10
1,97
1,115
1,102
1,97
2,102
1,97
1,32
1,102
1,97
1,102
1,97
1,32
1,102
1,97
1,102
1,97
2,102
1,32
1,102
1,97
1,102
1,97
4,102
1,97
1,102
1,32
1,97
1,115
1,102
1,97
2,102
1,97
1,102
1,97
1,102
1,10
1,102
1,97
3,102
1,32
1,102
1,97
1,102
1,97
2,102
1,97
1,102
1,32
1,97
1,102
1,97
1,102
1,97
1,102
1,32
1,103
1,120
1,102
1,103
1,98
1,102
1,10
1,98
1,102
1,100
1,115
1,98
1,100
1,97
1,103
1,100
1,103
1,32
1,100
1,103
1,115
1,100
1,103
1,100
1,102
1,103
1,115
1,103
1,10
1,100
1,102
1,32
1,115
1,103
1,102
1,115
1,100
1,103
1,102
1,115
1,100
1,103
1,10
1,115
1,100
1,102
1,103
1,32
1,115
1,100
1,102
1,103
1,100
1,115
1,10
1,102
1,103
1,102
1,115
1,100
1,32
1,103
1,100
1,115
1,102
1,103
1,10
1,115
1,100
1,32
1,103
1,115
1,100
1,103
1,100
1,115
1,32
1,103
1,115
1,100
1,103
1,32
1,100
1,115
1,103
1,100
1,115
1,103
1,100
1,115
1,104
1,115
1,100
1,103
1,32
1,115
1,100
1,103
1,104
1,115
1,102
1,103
1,104
1,100
1,104
1,106
1,104
1,100
1,102
1,115
1,102
1,32
1,119
1,100
1,102
1,103
1,10
1,115
1,100
1,102
1,103
1,115
1,100
1,102
2,103
1,32
1,115
1,100
1,102
1,103
1,115
1,102
1,103
1,104
